Player,Rank
Anthony Volpe,-9182857.3592293
Anthony Rizzo,-9182857.44028212
Ryan Noda,-9182857.445531199
Billy Cook,-9182857.48370079
Garrett Cooper,-9182857.60352992
Dan Vogelbach,-9182857.692142276
Brooks Baldwin,-9182857.719184365
Cedric Mullins,-9182857.740428668
Sam Hilliard,-9182857.788882243
Davis Wendzel,-9182857.828517793
Grant Mccray,-9182857.832466235
Dillon Dingler,-9182857.884619813
Yordan Álvarez,-9182857.96031254
Fernando Tatís,-9182857.973616268
Owen Miller,-9182858.00956643
Austin Slater,-9182858.077507384
Levi Jordan,-9182858.091579033
Travis Blankenhorn,-9182858.11636346
Luis Arráez,-9182858.203993058
Riley Greene,-9182858.23555087
Parker Meadows,-9182858.27775657
Jhonkensy Noel,-9182858.338885369
Alexander Canario,-9182858.350659715
Kyle Stowers,-9182858.439900627
Martín Maldonado,-9182858.499235274
Brendan Rodgers,-9182858.509401914
Spencer Torkelson,-9182858.533101944
Logan Driscoll,-9182858.661965897
Jack Suwinski,-9182858.77958
Edward Olivares,-9182858.837954922
Jasson Domínguez,-9182858.979721863
Jason Heyward,-9182859.24272111
José Caballero,-9182859.387104
Chuckie Robinson,-9182859.479175659
Dj Lemahieu,-9182859.492607668
Jahmai Jones,-9182859.609649215
Pedro Pagés,-9182859.678173315
Lane Thomas,-9182859.694285093
Aramis Garcia,-9182859.721149525
Ali Sánchez,-9182859.784652285
Zach Neto,-9182859.815496935
Travis Jankowski,-9182859.81918325
Andruw Monasterio,-9182860.077531192
Trevor Larnach,-9182860.088239353
Alex Kirilloff,-9182860.150249355
Michael Siani,-9182860.159973394
Jonny Deluca,-9182860.234863209
Drew Millas,-9182860.237945378
Nick Allen,-9182860.253897682
Cal Stevenson,-9182860.257681683
Justyn-henry Malloy,-9182860.286936134
Josh Jung,-9182860.288372543
Jake Bauers,-9182860.341895685
Billy Mckinney,-9182860.368798679
Michael Busch,-9182860.419190288
Griffin Conine,-9182860.452671185
Johan Rojas,-9182860.45278977
Luis De los santos,-9182860.509144656
Ji hwan Bae,-9182860.594147062
Steward Berroa,-9182860.729397321
Edmundo Sosa,-9182860.790344447
Pedro León,-9182860.934199018
Luke Raley,-9182861.161270997
Patrick Wisdom,-9182861.72540892
Christian Encarnacion-strand,-9182862.18433978
Sal Frelick,-9182862.233591026
Logan O'hoppe,-9182862.244673727
Chris Taylor,-9182862.273825722
Rafael Devers,-9182862.354112878
Jose Trevino,-9182862.44706632
Leo Rivas,-9182862.534618663
Connor Norby,-9182862.571393477
Dominic Fletcher,-9182862.912238754
Otto Lopez,-9182863.00747683
Mike Trout,-9182863.150808087
James Mccann,-9182863.17064505
Kyle Mccann,-9182863.177259231
Jake Rogers,-9182863.363480216
Blake Sabol,-9182863.89917348
Manny Machado,-9182863.98967778
Dylan Crews,-9182864.142023325
Ryan Mountcastle,-9182864.191934321
Forrest Wall,-9182864.226042015
Tony Kemp,-9182864.29921218
Jerar Encarnacion,-9182864.327441867
Eric Haase,-9182864.556362016
Chris Roller,-9182864.625928858
Grae Kessinger,-9182864.94069222
Jonathan Ornelas,-9182864.940805169
James Outman,-9182865.039988546
Tyler Fitzgerald,-9182865.675474865
Miguel Andújar,-9182866.187471684
Jake Burger,-9182866.45224398
Tyler Soderstrom,-9182866.6253695
Nick Ahmed,-9182866.718407538
J. d. Martinez,-9182866.832895705
Zach Remillard,-9182867.019212907
Mauricio Dubón,-9182867.035989866
Leody Taveras,-9182867.17690869
Esteury Ruiz,-9182867.208564088
Kyle Isbel,-9182867.4187801
Ryan Kreidler,-9182867.424788931
Adam Duvall,-9182867.984471979
Adrian Del castillo,-9182868.276060708
Sam Huff,-9182868.3696803
Orelvis Martinez,-9182868.39539982
Jared Walsh,-9182868.740674155
Jake Fraley,-9182868.856609654
Keibert Ruiz,-9182868.96993401
Adael Amador,-9182869.056082133
