Player,ScaledElo,Tier,WithinTier
José Herrera,-1.6496928812269646e-06,-1,0.9999983503071188
Elías Díaz,-1.6551469143430718e-06,-1,0.9999983448530857
Nick Allen,-1.6593513020504433e-06,-1,0.999998340648698
Joey Wendle,-1.6859836755134714e-06,-1,0.9999983140163244
Davis Wendzel,-1.6897549140414987e-06,-1,0.999998310245086
Reese Mcguire,-1.7039565571473653e-06,-1,0.9999982960434428
Seby Zavala,-1.7367159744353533e-06,-1,0.9999982632840255
Jahmai Jones,-1.7548169577751064e-06,-1,0.9999982451830423
Henry Davis,-1.7587593439761144e-06,-1,0.9999982412406561
Lane Thomas,-1.8074020829533364e-06,-1,0.999998192597917
Nick Sogard,-1.811891203384659e-06,-1,0.9999981881087966
Mason Mccoy,-1.8153777579711005e-06,-1,0.999998184622242
Ryan Kreidler,-1.8253710505596522e-06,-1,0.9999981746289495
Garrett Cooper,-1.8314815066588576e-06,-1,0.9999981685184933
Ryan Vilade,-1.8448470385097453e-06,-1,0.9999981551529615
Manny Machado,-1.85846184131038e-06,-1,0.9999981415381587
Esteury Ruiz,-1.8717363860759842e-06,-1,0.9999981282636139
Jonatan Clase,-1.9129450283849792e-06,-1,0.9999980870549716
Jared Walsh,-1.9250804906903507e-06,-1,0.9999980749195093
Tristan Gray,-1.943617789706347e-06,-1,0.9999980563822103
Nelson Velázquez,-1.986550791989322e-06,-1,0.999998013449208
Stuart Fairchild,-1.9958521616222984e-06,-1,0.9999980041478383
José Azocar,-2.0175191707575766e-06,-1,0.9999979824808293
