,winner,loser,score
664,Corey Knebel,James Shields,11
665,Corey Knebel,Jarred Cosart,0
666,Corey Knebel,Jason Vargas,0
667,Corey Knebel,Jeff Locke,0
668,Corey Knebel,Jeremy Jeffress,5
669,Corey Knebel,Jimmy Nelson,5
670,Corey Knebel,Josh Fields,5
671,Corey Knebel,Kirby Yates,0
672,Corey Knebel,Lance McCullers Jr.,0
673,Corey Knebel,Luke Hochevar,0
674,Corey Knebel,Mark Melancon,0
675,Corey Knebel,Matt Moore,1
676,Corey Knebel,Matt Reynolds,0
677,Corey Knebel,Matt Shoemaker,0
678,Corey Knebel,Mike Leake,0
679,Corey Knebel,Nate Karns,0
680,Corey Knebel,Phil Hughes,0
