winner,loser,score
"Abbott, Andrew","Okert, Steven",3.623772621154785
"Abbott, Andrew","Olson, Reese",9.087082862854004
"Abbott, Andrew","Ort, Kaleb",9.90524959564209
"Abbott, Andrew","Ortiz, Luis L.",10.079842567443848
"Abbott, Andrew","Orze, Eric",0.6159063577651978
"Abbott, Andrew","Otañez, Michel",8.801040649414062
"Abbott, Andrew","Ottavino, Adam",6.65845251083374
"Abbott, Andrew","Paddack, Chris",15.322248458862305
"Abbott, Andrew","Pagán, Emilio",11.686741828918457
"Abbott, Andrew","Pallante, Andre",6.784292221069336
"Abbott, Andrew","Parker, Mitchell",16.31591033935547
"Abbott, Andrew","Parsons, Wes",3.366936683654785
"Abbott, Andrew","Payamps, Joel",13.819153785705566
"Abbott, Andrew","Pearson, Nate",11.551339149475098
"Abbott, Andrew","Pepiot, Ryan",14.71201229095459
"Abbott, Andrew","Peralta, Freddy",14.56686782836914
"Abbott, Andrew","Peralta, Luis",2.2103443145751953
"Abbott, Andrew","Peralta, Sammy",1.508022427558899
"Abbott, Andrew","Pfaadt, Brandon",28.413917541503906
"Abbott, Andrew","Phillips, Evan",15.514668464660645
"Abbott, Andrew","Phillips, Tyler",6.595908164978027
"Abbott, Andrew","Pivetta, Nick",34.66532516479492
"Abbott, Andrew","Poche, Colin",8.695473670959473
"Abbott, Andrew","Pop, Zach",1.0879284143447876
"Abbott, Andrew","Poteet, Cody",1.5214484930038452
"Abbott, Andrew","Pratto, Nick",2.9557933807373047
"Abbott, Andrew","Pressly, Ryan",9.562731742858887
"Abbott, Andrew","Priester, Quinn",0.5484594106674194
"Abbott, Andrew","Pruitt, Austin",0.6460675001144409
"Abbott, Andrew","Puk, A.J.",19.083118438720703
"Abbott, Andrew","Pérez, Martín",0.03744149208068848
"Abbott, Andrew","Ragans, Cole",26.344160079956055
"Abbott, Andrew","Raley, Brooks",4.112074375152588
"Abbott, Andrew","Ramirez, Emmanuel",1.8049358129501343
"Abbott, Andrew","Rasmussen, Drew",15.049782752990723
"Abbott, Andrew","Rea, Colin",9.438103675842285
"Abbott, Andrew","Reid-Foley, Sean",1.101838231086731
"Abbott, Andrew","Reyes, Gerardo",0.2212020754814148
"Abbott, Andrew","Reyes, Pablo",1.3342257738113403
"Abbott, Andrew","Reynolds, Sean",5.617678642272949
"Abbott, Andrew","Ribalta, Orlando",1.1451400518417358
"Abbott, Andrew","Richardson, Lyon",2.1940722465515137
"Abbott, Andrew","Rivera, Emmanuel",1.3615490198135376
"Abbott, Andrew","Robert, Daniel",1.8654793500900269
"Abbott, Andrew","Roberts, Ethan",2.8592309951782227
"Abbott, Andrew","Robertson, David",16.841182708740234
"Abbott, Andrew","Robertson, Nick",7.080015182495117
"Abbott, Andrew","Rocker, Kumar",0.18565905094146729
"Abbott, Andrew","Rodriguez, Carlos",3.184487819671631
"Abbott, Andrew","Rodriguez, Eduardo",2.026585102081299
"Abbott, Andrew","Rodriguez, Grayson",14.191521644592285
"Abbott, Andrew","Rodríguez, Joely",5.407285213470459
"Abbott, Andrew","Rodríguez, Manuel",5.374901294708252
"Abbott, Andrew","Rodríguez, Randy",5.248971939086914
"Abbott, Andrew","Rodón, Carlos",20.469064712524414
"Abbott, Andrew","Rogers, Taylor",8.680728912353516
"Abbott, Andrew","Rogers, Tyler",16.494577407836914
"Abbott, Andrew","Rojas, Josh",0.39520472288131714
"Abbott, Andrew","Romano, Jordan",5.032151222229004
"Abbott, Andrew","Romero, JoJo",7.905533790588379
"Abbott, Andrew","Rortvedt, Ben",0.8076859712600708
