i,j,D,W
Aaron Hicks,Gavin Lux,0.0011278940085595586,5886.489387414889
Aaron Hicks,Gavin Sheets,-0.0028024982539800944,5899.592313152039
Aaron Hicks,George Springer,-0.0118680167657754,5926.767513574401
Aaron Hicks,Geraldo Perdomo,-0.006819240690802607,5853.030130621807
Aaron Hicks,Giancarlo Stanton,0.0043236380403997125,5925.79816462634
Aaron Hicks,Gio Urshela,-0.00021190146466401548,5862.389363291202
Aaron Hicks,Gleyber Torres,-0.009994686399086681,5944.750610781862
Aaron Hicks,Grae Kessinger,-0.0016033370186224766,5824.952432613628
Aaron Hicks,Graham Pauley,0.0024500755718604977,5820.272816278932
Aaron Hicks,Grant Koch,-0.0006522916273841845,5824.952432613628
Aaron Hicks,Grant Mccray,0.006005579859865044,5847.180610203437
Aaron Hicks,Greg Jones,-0.0007510657905214917,5822.612624446279
Aaron Hicks,Griffin Conine,0.0012757105416644641,5827.292240780976
Aaron Hicks,Gunnar Henderson,-0.009587404510865243,5952.588968051338
Aaron Hicks,Gustavo Campero,-0.00026639860529668755,5824.952432613628
Aaron Hicks,Ha-seong Kim,-0.01303653839079864,5870.578691825933
Aaron Hicks,Harold Ramírez,0.0042902734795051455,5837.821377534044
Aaron Hicks,Harrison Bader,0.0014656281893813796,5862.389363291201
Aaron Hicks,Heliot Ramos,0.005119293086058923,5904.739891120205
Aaron Hicks,Henry Davis,-0.0011467599408403614,5840.629147334862
Aaron Hicks,Heston Kjerstad,-0.0006882804626136179,5834.311665283022
Aaron Hicks,Hunter Feduccia,-0.0013081764771273878,5822.61262444628
Aaron Hicks,Hunter Goodman,0.004482338193058964,5849.520418370785
Aaron Hicks,Hunter Renfroe,-0.004200518341700967,5864.963152275284
Aaron Hicks,Ian Happ,-0.004073851768847359,5985.195866144052
Aaron Hicks,Ildemaro Vargas,-0.0050827468304336315,5827.2922407809765
Aaron Hicks,Isaac Collins,-6.487612574963468e-05,5827.2922407809765
Aaron Hicks,Isaac Paredes,-0.023686961832732736,5938.901090312504
Aaron Hicks,Isiah Kiner-falefa,-0.00035962555952841137,5870.110730243451
Aaron Hicks,Iván Herrera,-0.004255131234740219,5847.180610203437
Aaron Hicks,J. d. Davis,-0.002058576701472268,5842.500993868741
Aaron Hicks,J. d. Martinez,-0.0015159938395336206,5938.199147862299
Aaron Hicks,J. p. Crawford,-0.0067740459567260936,5909.419507454902
Aaron Hicks,J. p. Martínez,-0.00031532012937056917,5820.272816278932
Aaron Hicks,J. t. Realmuto,0.002325464822335598,5870.812672693655
Aaron Hicks,Jace Jung,-0.0014372074754659863,5833.1417611993475
Aaron Hicks,Jace Peterson,-0.00138904992959008,5820.272816278932
Aaron Hicks,Jack López,0.0017101276150622807,5827.2922407809765
Aaron Hicks,Jack Suwinski,0.001875379691966158,5874.556365761412
Aaron Hicks,Jackson Chourio,0.0021914094741142007,5903.102025403062
Aaron Hicks,Jackson Holliday,0.002848991927818747,5858.879651040178
Aaron Hicks,Jackson Merrill,0.006895881542041773,5868.238883709571
Aaron Hicks,Jacob Amaya,0.001954025324037542,5836.65147345037
Aaron Hicks,Jacob Hurtubise,-0.002091611580582666,5829.632048948324
Aaron Hicks,Jacob Stallings,-0.005621936218147241,5858.411689406708
Aaron Hicks,Jacob Wilson,-0.004576436176773337,5822.612624446279
Aaron Hicks,Jacob Young,-0.004861018580862886,5887.191329865093
Aaron Hicks,Jahmai Jones,5.9279058744611625e-05,5822.61262444628
Aaron Hicks,Jair Camargo,-0.0009556692179722993,5820.272816278932
Aaron Hicks,Jake Bauers,0.0020154690106326516,5915.269027873273
Aaron Hicks,Jake Burger,0.0063202822595125226,5926.968068710014
Aaron Hicks,Jake Cave,0.010727961477200692,5868.940826159777
Aaron Hicks,Jake Cronenworth,-0.011366929418559626,5922.288452273343
Aaron Hicks,Jake Fraley,-0.0021617093252299427,5870.57869187692
Aaron Hicks,Jake Mccarthy,-0.007045012810728044,5855.369938789156
Aaron Hicks,Jake Meyers,-0.0023434430381485986,5897.486485801426
Aaron Hicks,Jake Rogers,0.005802066198353576,5879.469962912844
Aaron Hicks,Jakson Reetz,-0.0008630501594974763,5820.272816278932
Aaron Hicks,James Mccann,0.0005621855050481722,5843.202936318944
Aaron Hicks,James Outman,0.0008913273474344632,5848.350514287111
Aaron Hicks,James Wood,-0.000979523809381062,5894.21075431615
Aaron Hicks,Jamie Westbrook,-0.0011339020627330102,5826.122336697302
Aaron Hicks,Jared Triolo,-0.0033977141540924554,5889.2971571647195
Aaron Hicks,Jared Walsh,0.0002908038512495041,5836.651473450369
Aaron Hicks,Jarred Kelenic,0.011263526360843148,5884.61754088101
Aaron Hicks,Jarren Duran,-1.4221548879458377e-05,5958.321498101494
Aaron Hicks,Jason Delay,-0.0026015958085131977,5820.272816278932
Aaron Hicks,Jason Heyward,-0.00047324584432537466,5853.030130621808
Aaron Hicks,Jason Vosler,-0.000508711902737689,5827.2922407809765
Aaron Hicks,Jasson Domínguez,-0.002992097531340097,5829.632048948324
Aaron Hicks,Javier Báez,0.0029740017208804235,5857.241785323035
Aaron Hicks,Javier Sanoja,-0.0008445879442607924,5820.272816278932
Aaron Hicks,Jazz Chisholm,0.0021299051266743954,5936.795263012877
Aaron Hicks,Jeff Mcneil,-0.008306480327373888,5847.882552653642
Aaron Hicks,Jeimer Candelario,0.0070493496505742775,5889.999099665911
Aaron Hicks,Jerar Encarnacion,0.002051576248476247,5830.801953031999
Aaron Hicks,Jeremy Peña,-0.001986300154069356,5877.130154745496
Aaron Hicks,Jesse Winker,-0.010882403168200081,5916.90689353943
Aaron Hicks,Jesús Sánchez,0.006575456388894371,5913.280190839887
Aaron Hicks,Jhonkensy Noel,0.0013897361552641472,5857.709746956505
Aaron Hicks,Jhonny Pereda,0.00015678717862421536,5820.272816278932
Aaron Hicks,Ji hwan Bae,0.0009936344591256383,5827.2922407809765
Aaron Hicks,Jj Bleday,-0.008864795172116307,5922.756414008787
Aaron Hicks,Jo Adell,0.0007140183894540376,5910.589411538576
Aaron Hicks,Joc Pederson,-0.010533874277089142,5920.182624973717
Aaron Hicks,Joey Bart,-0.0020733723082317543,5861.219459207527
Aaron Hicks,Joey Gallo,0.0003566002151639316,5898.42240896639
Aaron Hicks,Joey Loperfido,0.00783856969551791,5886.957349048359
Aaron Hicks,Joey Meneses,-0.002583992548937123,5844.8408020360885
Aaron Hicks,Joey Ortiz,-0.012265133675570812,5887.659291498563
Aaron Hicks,Joey Wendle,-0.00011953883895100187,5824.952432613628
Aaron Hicks,Joey Wiemer,-0.0005365383238360493,5824.952432613628
Aaron Hicks,Johan Rojas,0.0034861232735891746,5848.350514287111
