,winner,loser,score
457,Billy Butler,Mike Moustakas,3
458,Billy Butler,Mike Trout,1
459,Billy Butler,Nick Markakis,0
460,Billy Butler,Oswaldo Arcia,0
461,Billy Butler,Shin-soo Choo,1
462,Billy Butler,Victor Martinez,0
463,Billy Butler,Yoenis Céspedes,0
464,Billy Hamilton,Emilio Bonifacio,6
465,Billy Hamilton,Josh Harrison,3
466,Billy Hamilton,Marcell Ozuna,6
467,Marcell Ozuna,Billy Hamilton,6
468,Billy Hamilton,Mark Trumbo,0
469,Billy Hamilton,Michael Cuddyer,1
470,Michael Cuddyer,Billy Hamilton,1
471,Billy Hamilton,Mike Moustakas,0
472,Billy Hamilton,Russell Martin,2
473,Russell Martin,Billy Hamilton,2
474,Billy Hamilton,Wilin Rosario,3
475,Wilin Rosario,Billy Hamilton,3
476,Brad Miller,Kennys Vargas,0
477,Brandon Belt,Aramis Ramirez,1
478,Brandon Belt,Carlos Gomez,0
479,Brandon Belt,Danny Santana,0
480,Brandon Belt,Jimmy Rollins,1
481,Jimmy Rollins,Brandon Belt,1
482,Brandon Belt,Luis Valbuena,0
483,Brandon Belt,Nick Swisher,3
484,Nick Swisher,Brandon Belt,3
485,Brandon Belt,Paul Goldschmidt,0
486,Brandon Belt,Russell Martin,2
487,Russell Martin,Brandon Belt,2
488,Brandon Belt,Yasiel Puig,2
489,Brandon Crawford,Anthony Rizzo,3
490,Brandon Crawford,Carl Crawford,2
491,Brandon Crawford,Corey Dickerson,0
492,Brandon Crawford,Dj Lemahieu,11
493,Brandon Crawford,Hunter Pence,0
494,Brandon Crawford,Jordy Mercer,5
495,Brandon Crawford,Justin Upton,1
496,Justin Upton,Brandon Crawford,1
497,Brandon Crawford,Mark Reynolds,5
498,Brandon Crawford,Matt Adams,0
499,Brandon Crawford,Mike Morse,9
500,Brandon Crawford,Neil Walker,0
501,Brandon Crawford,Nick Swisher,8
502,Brandon Crawford,Todd Frazier,10
503,Brandon Hicks,Josh Harrison,7
504,Brandon Hicks,Mark Trumbo,0
505,Brandon Hicks,Mike Morse,6
506,Brandon Hicks,Paul Goldschmidt,4
507,Brandon Hicks,Russell Martin,9
508,Brandon Moss,Adam Jones,0
509,Brandon Moss,Alex Gordon,3
510,Brandon Moss,Brian Dozier,11
511,Brandon Moss,Danny Santana,1
512,Brandon Moss,David Ortiz,0
513,Brandon Moss,Eric Sogard,5
514,Brandon Moss,Erick Aybar,0
515,Brandon Moss,Jonathan Villar,3
516,Brandon Moss,Josmil Pinto,7
